recording_id,recording_number,epoch_number,sample_index,native_time_seconds,published_time_seconds,measured_ecg_raw,predicted_ecg_raw,measured_ecg_normalized,predicted_ecg_normalized,difference_scaled
recording_01,1,3,21618,10.8090000,32.4283512,0.084004051983356476,0.11680000275373459,0.55399795591496226,0.54899657879747454,-0.00075020656762315725
recording_01,1,3,21619,10.8095000,32.4298512,0.084068551659584045,0.11680000275373459,0.55403631729477587,0.54899657879747454,-0.00075596077459519904
recording_01,1,3,21620,10.8100000,32.4313513,0.084135286509990692,0.11680000275373459,0.55407600805127244,0.54899657879747454,-0.00076191438806968439
recording_01,1,3,21621,10.8105000,32.4328514,0.084201529622077942,0.1168999969959259,0.55411540634489864,0.54904764055638466,-0.00076016486827709673
recording_01,1,3,21622,10.8110000,32.4343514,0.084265716373920441,0.1168999969959259,0.55415358161197659,0.54904764055638466,-0.00076589115833878836
recording_01,1,3,21623,10.8115000,32.4358515,0.084328778088092804,0.1168999969959259,0.55419108775945758,0.54904764055638466,-0.00077151708046093728
recording_01,1,3,21624,10.8120000,32.4373516,0.084388792514801025,0.1168999969959259,0.55422678152339411,0.54904764055638466,-0.00077687114505141646
recording_01,1,3,21625,10.8125000,32.4388516,0.084441743791103363,0.11699999868869781,0.55425827445701259,0.54909870611991141,-0.00077393525056517756
recording_01,1,3,21626,10.8130000,32.4403517,0.084486521780490875,0.11699999868869781,0.55428490630322713,0.54909870611991141,-0.0007779300274973588
recording_01,1,3,21627,10.8135000,32.4418517,0.084523670375347137,0.11710000038146973,0.5543070005436973,0.54914977168343815,-0.00077358432903887331
recording_01,1,3,21628,10.8140000,32.4433518,0.084553107619285583,0.11710000038146973,0.55432450843461145,0.54914977168343815,-0.00077621051267599546
recording_01,1,3,21629,10.8145000,32.4448519,0.084572315216064453,0.11720000207424164,0.5543359322115734,0.54920083724696489,-0.00077026424469127657
recording_01,1,3,21630,10.8150000,32.4463519,0.084578320384025574,0.11729999631643295,0.55433950380359487,0.54925189900587501,-0.00076314071965797865
recording_01,1,3,21631,10.8155000,32.4478520,0.084572590887546539,0.11729999631643295,0.55433609616803092,0.54925189900587501,-0.00076262957432338683
recording_01,1,3,21632,10.8160000,32.4493521,0.084558695554733276,0.11739999800920486,0.55432783187631873,0.54930296456940175,-0.00075373009603754704
recording_01,1,3,21633,10.8165000,32.4508521,0.084536224603652954,0.11749999970197678,0.55431446720939981,0.54935403013292838,-0.0007440655614707137
recording_01,1,3,21634,10.8170000,32.4523522,0.0845046266913414,0.11760000139474869,0.55429567425435877,0.54940509569645513,-0.00073358678368554695
