sample_index,time_seconds,measured_ecg,predicted_ecg
4724,2.3620000,-0.024436317384243011,-0.070500001311302185
4725,2.3625000,-0.028421182185411453,-0.072999998927116394
4726,2.3630000,-0.032313823699951172,-0.075300000607967377
4727,2.3635000,-0.036111507564783096,-0.077600002288818359
4728,2.3640000,-0.039810121059417725,-0.079700000584125519
4729,2.3645000,-0.043409612029790878,-0.081600002944469452
4730,2.3650000,-0.046915099024772644,-0.083499997854232788
4731,2.3655000,-0.050329223275184631,-0.085199996829032898
4732,2.3660000,-0.053652439266443253,-0.086900003254413605
4733,2.3665000,-0.056888360530138016,-0.088399998843669891
4734,2.3670000,-0.060039021074771881,-0.089900001883506775
4735,2.3675000,-0.06310369074344635,-0.091200001537799835
4736,2.3680000,-0.066078603267669678,-0.092500001192092896
4737,2.3685000,-0.068955413997173309,-0.093800000846385956
4738,2.3690000,-0.071729682385921478,-0.094999998807907104
4739,2.3695000,-0.074404619634151459,-0.096100002527236938
4740,2.3700000,-0.076986588537693024,-0.097199998795986176
4741,2.3705000,-0.079482972621917725,-0.098200000822544098
4742,2.3710000,-0.08189556747674942,-0.099299997091293335
4743,2.3715000,-0.084220081567764282,-0.10029999911785126
4744,2.3720000,-0.086458995938301086,-0.10130000114440918
4745,2.3725000,-0.088621377944946289,-0.10220000147819519
4746,2.3730000,-0.090711981058120728,-0.10320000350475311
4747,2.3735000,-0.092729963362216949,-0.10419999808073044
4748,2.3740000,-0.094677552580833435,-0.10520000010728836
4749,2.3745000,-0.096561603248119354,-0.10620000213384628
4750,2.3750000,-0.098383285105228424,-0.10719999670982361
4751,2.3755000,-0.10013848543167114,-0.10819999873638153
4752,2.3760000,-0.10182889550924301,-0.10920000076293945
4753,2.3765000,-0.10346084833145142,-0.11029999703168869
4754,2.3770000,-0.10503656417131424,-0.11140000075101852
4755,2.3775000,-0.1065550297498703,-0.11249999701976776
4756,2.3780000,-0.10801849514245987,-0.11370000243186951
4757,2.3785000,-0.10942763090133667,-0.11490000039339066
4758,2.3790000,-0.11078096181154251,-0.1160999983549118
4759,2.3795000,-0.11208047717809677,-0.11739999800920486
4760,2.3800000,-0.1133243590593338,-0.11869999766349792
4761,2.3805000,-0.11450751125812531,-0.11999999731779099
